customer_id,age,job_code,marital_status_code,ed_level,balance,housing_status_code,loan_status_code,contact,month,duration,campaign,pdays,previous,poutcome,results
0,58,4,1,2,2143,0,0,2,may,261,1,-1,0,3,no
1,44,9,2,1,29,0,0,2,may,151,1,-1,0,3,no
2,33,2,1,1,2,1,1,2,may,76,1,-1,0,3,no
3,47,1,1,3,1506,0,0,2,may,92,1,-1,0,3,no
4,33,11,2,3,1,0,0,2,may,198,1,-1,0,3,no
5,35,4,1,2,231,0,0,2,may,139,1,-1,0,3,no
6,28,4,2,2,447,1,1,2,may,217,1,-1,0,3,no
7,42,2,0,2,2,0,0,2,may,380,1,-1,0,3,no
8,58,5,1,0,121,0,0,2,may,50,1,-1,0,3,no
9,43,9,2,1,593,0,0,2,may,55,1,-1,0,3,no
10,41,0,0,1,270,0,0,2,may,222,1,-1,0,3,no
11,29,0,2,1,390,0,0,2,may,137,1,-1,0,3,no
12,53,9,1,1,6,0,0,2,may,517,1,-1,0,3,no
13,58,9,1,3,71,0,0,2,may,71,1,-1,0,3,no
14,57,7,1,1,162,0,0,2,may,174,1,-1,0,3,no
15,51,5,1,0,229,0,0,2,may,353,1,-1,0,3,no
16,45,0,2,3,13,0,0,2,may,98,1,-1,0,3,no
17,57,1,1,0,52,0,0,2,may,38,1,-1,0,3,no
18,60,5,1,0,60,0,0,2,may,219,1,-1,0,3,no
19,33,7,1,1,0,0,0,2,may,54,1,-1,0,3,no
20,28,1,1,1,723,1,1,2,may,262,1,-1,0,3,no
21,56,4,1,2,779,0,0,2,may,164,1,-1,0,3,no
22,32,1,2,0,23,1,1,2,may,160,1,-1,0,3,no
23,25,7,1,1,50,0,0,2,may,342,1,-1,0,3,no
24,40,5,1,0,0,1,1,2,may,181,1,-1,0,3,no
25,44,0,1,1,-372,0,0,2,may,172,1,-1,0,3,no
26,39,4,2,2,255,0,0,2,may,296,1,-1,0,3,no
27,52,2,1,1,113,1,1,2,may,127,1,-1,0,3,no
28,46,4,2,1,-246,0,0,2,may,255,2,-1,0,3,no
29,36,9,2,1,265,1,1,2,may,348,1,-1,0,3,no
30,57,9,1,1,839,1,1,2,may,225,1,-1,0,3,no
31,49,4,1,2,378,0,0,2,may,230,1,-1,0,3,no
32,60,0,1,1,39,1,1,2,may,208,1,-1,0,3,no
33,59,1,1,1,0,0,0,2,may,226,1,-1,0,3,no
34,51,4,1,2,10635,0,0,2,may,336,1,-1,0,3,no
35,57,9,0,1,63,0,0,2,may,242,1,-1,0,3,no
36,25,1,1,1,-7,0,0,2,may,365,1,-1,0,3,no
37,53,9,1,1,-3,0,0,2,may,1666,1,-1,0,3,no
38,36,0,0,1,506,0,0,2,may,577,1,-1,0,3,no
39,37,0,2,1,0,0,0,2,may,137,1,-1,0,3,no
40,44,7,0,1,2586,0,0,2,may,160,1,-1,0,3,no
41,50,4,1,1,49,0,0,2,may,180,2,-1,0,3,no
42,60,1,1,3,104,0,0,2,may,22,1,-1,0,3,no
43,54,5,1,1,529,0,0,2,may,1492,1,-1,0,3,no
44,58,5,1,3,96,0,0,2,may,616,1,-1,0,3,no
45,36,0,2,0,-171,0,0,2,may,242,1,-1,0,3,no
46,58,6,1,2,-364,0,0,2,may,355,1,-1,0,3,no
47,44,9,1,1,0,0,0,2,may,225,2,-1,0,3,no
48,55,9,0,1,0,0,0,2,may,160,1,-1,0,3,no
49,29,4,2,2,0,0,0,2,may,363,1,-1,0,3,no
50,54,1,1,1,1291,0,0,2,may,266,1,-1,0,3,no
51,48,4,0,2,-244,0,0,2,may,253,1,-1,0,3,no
52,32,4,1,2,0,0,0,2,may,179,1,-1,0,3,no
53,42,0,2,1,-76,0,0,2,may,787,1,-1,0,3,no
54,24,9,2,1,-103,1,1,2,may,145,1,-1,0,3,no
55,38,2,2,2,243,1,1,2,may,174,1,-1,0,3,no
56,38,4,2,2,424,0,0,2,may,104,1,-1,0,3,no
57,47,1,1,3,306,0,0,2,may,13,1,-1,0,3,no
58,40,1,2,3,24,0,0,2,may,185,1,-1,0,3,no
59,46,7,1,0,179,0,0,2,may,1778,1,-1,0,3,no
60,32,0,1,2,0,0,0,2,may,138,1,-1,0,3,no
61,53,9,0,1,989,0,0,2,may,812,1,-1,0,3,no
62,57,1,1,0,249,0,0,2,may,164,1,-1,0,3,no
63,33,7,1,1,790,0,0,2,may,391,1,-1,0,3,no
64,49,1,1,3,154,0,0,2,may,357,1,-1,0,3,no
65,51,4,1,2,6530,0,0,2,may,91,1,-1,0,3,no
66,60,5,1,2,100,0,0,2,may,528,1,-1,0,3,no
67,59,4,0,2,59,0,0,2,may,273,1,-1,0,3,no
68,55,9,1,1,1205,0,0,2,may,158,2,-1,0,3,no
69,35,1,2,1,12223,1,1,2,may,177,1,-1,0,3,no
70,57,1,1,1,5935,1,1,2,may,258,1,-1,0,3,no
71,31,7,1,1,25,1,1,2,may,172,1,-1,0,3,no
72,54,4,1,1,282,1,1,2,may,154,1,-1,0,3,no
73,55,1,1,0,23,0,0,2,may,291,1,-1,0,3,no
74,43,9,1,1,1937,0,0,2,may,181,1,-1,0,3,no
75,53,9,1,1,384,0,0,2,may,176,1,-1,0,3,no
76,44,1,1,1,582,1,1,2,may,211,1,-1,0,3,no
77,55,7,0,1,91,0,0,2,may,349,1,-1,0,3,no
78,49,7,0,1,0,1,1,2,may,272,1,-1,0,3,no
79,55,7,0,1,1,0,0,2,may,208,1,-1,0,3,no
80,45,0,2,1,206,0,0,2,may,193,1,-1,0,3,no
81,47,7,0,1,164,0,0,2,may,212,1,-1,0,3,no
82,42,9,2,1,690,0,0,2,may,20,1,-1,0,3,no
83,59,0,1,1,2343,0,0,2,may,1042,1,-1,0,3,yes
84,46,6,1,2,137,1,1,2,may,246,1,-1,0,3,no
85,51,1,1,0,173,0,0,2,may,529,2,-1,0,3,no
86,56,0,1,1,45,0,0,2,may,1467,1,-1,0,3,yes
87,41,9,1,1,1270,0,0,2,may,1389,1,-1,0,3,yes
88,46,4,0,1,16,1,1,2,may,188,2,-1,0,3,no
89,57,5,1,1,486,0,0,2,may,180,2,-1,0,3,no
90,42,4,2,1,50,0,0,2,may,48,1,-1,0,3,no
91,30,9,1,1,152,1,1,2,may,213,2,-1,0,3,no
92,60,0,1,1,290,0,0,2,may,583,1,-1,0,3,no
93,60,1,1,3,54,0,0,2,may,221,1,-1,0,3,no
94,57,2,0,1,-37,0,0,2,may,173,1,-1,0,3,no
